id,latitude,longitude,lumens
282,12.9849297,80.2131737,7.0
283,12.9849292,80.2131759,6.0
284,12.9849248,80.2131844,4.0
285,12.9849116,80.2132188,4.0
286,12.9849116,80.2132188,3.0
287,12.9848475,80.2132255,3.0
288,12.9847687,80.2132315,3.0
289,12.9847687,80.2132315,9.0
290,12.9846663,80.2132606,9.0
291,12.9847255,80.2132792,9.0
292,12.9847216,80.2132878,9.0
293,12.9846833,80.213304,9.0
294,12.9846845,80.2133044,7.0
295,12.9846943,80.2133036,7.0
296,12.9847539,80.2133017,7.0
297,12.9848019,80.213301,7.0
298,12.9848204,80.2132906,7.0
299,12.9848727,80.2132679,7.0
300,12.9849122,80.2132442,5.0
301,12.9849185,80.2132373,5.0
302,12.9849199,80.2132312,8.0
303,12.9849198,80.2132252,7.0
304,12.9849155,80.2132201,7.0
305,12.984916,80.2132159,7.0
306,12.9849194,80.2132147,7.0
307,12.9849296,80.2132091,7.0
308,12.9849342,80.2132066,7.0
309,12.98493,80.2132128,7.0
310,12.9849256,80.2132193,5.0
311,12.9849206,80.2132252,5.0
312,12.984915,80.213237,5.0
313,12.9849156,80.2132426,7.0
314,12.9849192,80.2132475,7.0
315,12.9849232,80.2132518,10.0
316,12.9849238,80.2132644,10.0
317,12.9849288,80.213276,10.0
318,12.9849454,80.2132916,12.0
319,12.984958,80.2132933,12.0
320,12.9849803,80.2132994,3.0
321,12.9849959,80.2133003,3.0
322,12.9850137,80.2133017,3.0
323,12.9850381,80.2133006,4.0
324,12.9850407,80.2132985,4.0
325,12.9850389,80.213296,4.0
326,12.9850298,80.2132943,4.0
327,12.985027,80.213295,4.0
328,12.9850047,80.2133036,4.0
329,12.9849866,80.2133149,4.0
330,12.9849764,80.2133137,4.0
331,12.9849744,80.2133205,4.0
332,12.9849872,80.2133247,4.0
333,12.9849985,80.2133343,4.0
334,12.9850056,80.2133426,4.0
335,12.9850344,80.2133509,4.0
336,12.9850557,80.2133472,4.0
337,12.9850675,80.2133449,4.0
338,12.9850753,80.213338,4.0
339,12.9850752,80.2133315,4.0
340,12.9850747,80.2133254,4.0
341,12.985064,80.2133059,4.0
342,12.9850603,80.2132906,4.0
343,12.9850605,80.2132871,4.0
344,12.9850493,80.2132802,4.0
345,12.9850406,80.2132824,4.0
346,12.9850183,80.2132845,4.0
347,12.9850094,80.2132836,13.0
348,12.9850171,80.2132771,13.0
349,12.9850432,80.2132642,24.0
350,12.9850602,80.2132547,24.0
351,12.9850641,80.2132534,8.0
352,12.9850777,80.2132545,12.0
353,12.9850696,80.213246,13.0
354,12.9850703,80.213244,11.0
355,12.9850777,80.2132643,11.0
356,12.9850837,80.2132699,11.0
357,12.9850576,80.2132908,11.0
358,12.985045,80.2133037,9.0
359,12.9850292,80.2133053,9.0
360,12.9850215,80.2133075,9.0
361,12.9850237,80.213311,9.0
362,12.9850226,80.2133116,9.0
363,12.9850192,80.2133154,9.0
364,12.9850163,80.2133212,7.0
365,12.9850158,80.2133219,7.0
366,12.9850207,80.2133431,12.0
367,12.9849662,80.213358,14.0
368,12.9849668,80.213334,827.0
369,12.9786705,80.1989647,6324.0
370,12.9786806,80.1984484,14519.0
371,12.9786466,80.1984188,22608.0
372,12.9786505,80.1984229,7238.0
373,12.9786529,80.1984263,6886.0
374,12.9786594,80.198436,6886.0
375,12.978657,80.198421,6886.0
376,12.9786627,80.1984227,6886.0
377,12.9786655,80.1984244,10791.0
378,12.9786851,80.1984169,5318.0
379,12.9786727,80.1983887,5755.0
380,12.9786633,80.1983337,6538.0
381,12.9786581,80.1983145,6538.0
382,12.9786626,80.1982942,6538.0
383,12.9786665,80.1982725,6538.0
384,12.9786665,80.1982527,6538.0
385,12.9786551,80.198215,3269.0
386,12.984911,80.2131387,26.0
387,12.9847944,80.2133677,3.0
388,12.9848019,80.2133377,13.0
389,12.9849024,80.2132463,41.0
390,12.9849124,80.2131975,41.0
391,12.9848945,80.2131951,41.0
392,12.984878,80.2131815,41.0
393,12.9848724,80.2131813,41.0
394,12.9848637,80.2131773,27.0
395,12.984858,80.2131703,15.0
396,12.9848567,80.2131613,4.0
397,12.9848572,80.2131517,4.0
398,12.9848583,80.2131413,4.0
399,12.9848597,80.2131212,3.0
400,12.9848692,80.2130999,3.0
401,12.9848763,80.2130851,23.0
402,12.9848818,80.2130627,28.0
403,12.9848884,80.213023,28.0
404,12.9849042,80.2129918,34.0
405,12.9849161,80.2129799,5.0
406,12.9849449,80.2129692,5.0
407,12.9849801,80.2129634,5.0
408,12.9849976,80.2129626,5.0
409,12.9850096,80.2129633,5.0
410,12.9850229,80.212964,11.0
411,12.9850365,80.212964,17.0
412,12.9850504,80.2129654,21.0
413,12.9850767,80.21297,31.0
414,12.9850749,80.2129681,40.0
415,12.9850908,80.2129676,40.0
416,12.9850982,80.2129699,31.0
417,12.9851079,80.2129719,31.0
418,12.9851188,80.2129745,31.0
419,12.985128,80.2129837,31.0
420,12.9851086,80.212985,31.0
421,12.9851056,80.2129874,31.0
422,12.9851028,80.2129647,31.0
423,12.9851159,80.2129513,18.0
424,12.985106,80.2129458,14.0
425,12.9850979,80.2129413,14.0
426,12.9850931,80.2129325,3.0
427,12.9850709,80.2129232,3.0
428,12.9850616,80.2129091,3.0
429,12.9850606,80.2129033,6.0
430,12.9850538,80.212904,4.0
431,12.9850307,80.212899,14.0
432,12.9850166,80.2128976,18.0
433,12.9850005,80.2128974,27.0
434,12.984983,80.2128982,33.0
435,12.9849727,80.2129009,40.0
436,12.9849755,80.2129112,40.0
437,12.9849799,80.2129195,34.0
438,12.9849828,80.212927,18.0
439,12.9849857,80.2129427,6.0
440,12.9849836,80.2129633,4.0
441,12.9849845,80.2129739,4.0
442,12.9849835,80.2129896,5.0
443,12.9849821,80.2130014,10.0
444,12.9849819,80.2130125,16.0
445,12.9849859,80.2130248,33.0
446,12.9849894,80.2130349,40.0
447,12.9849921,80.2130626,3.0
448,12.9849917,80.2130817,27.0
449,12.984992,80.213109,20.0
450,12.9849957,80.2131351,14.0
451,12.9849961,80.2131558,9.0
452,12.9849969,80.2131683,3.0
453,12.9849955,80.2131802,3.0
454,12.9849871,80.213196,3.0
455,12.9849816,80.2132115,3.0
456,12.9849778,80.2132277,3.0
457,12.984977,80.2132422,3.0
458,12.9849784,80.2132586,3.0
459,12.9849759,80.2132562,8.0
460,12.984969,80.2132567,8.0
461,12.9849657,80.2132558,10.0
462,12.9849638,80.2132554,10.0
463,12.9849619,80.2132523,10.0
464,12.9849651,80.213249,59.0
465,12.9849724,80.2132453,34.0
466,12.9849767,80.2132428,53.0
467,12.9849853,80.213245,36.0
468,12.9849866,80.2132484,63.0
469,12.9849887,80.2132511,127.0
470,12.984995,80.2132562,3.0
471,12.9849988,80.2132589,3.0
472,12.9850041,80.2132575,8.0
473,12.985014,80.2132436,6.0
474,12.9850182,80.21324,5.0
475,12.9850188,80.2132401,5.0
476,12.9850213,80.2132463,21.0
